duplicate_l2_fraction	effective_dimension	n	nearest_l2_mean	nearest_linf_mean	negative_eigenmass_fraction	pairwise_l2_mean	pairwise_l2_median	pairwise_linf_mean	population	sample_status	side_count
0.0	1.0104342670586994	24	0.16432648204975153	0.26777262890950987	0.0004002352878180803	1.1750828087999177	0.6121690514321542	1.739900804591881	current-baseline[delta=0.2]	descriptive	3
0.0	2.425251512767272	16	0.03313765844154979	0.06941960129225395	0.07617512780466833	0.09500981667297728	0.09363917003829153	0.18745780653675587	primal-hull-uniform-disk[points=n+4,origin=interior]	descriptive	3
0.0	2.9071601345847142	24	0.009409759899452653	0.019709776371499822	0.08319205422528077	0.03429929385643938	0.029682793562215995	0.07109505737926712	regular-mutation[steps=4,scale=0.03]	descriptive	3
0.0	1.160434058502782	24	0.04763260228002771	0.09779674337953254	0.011846189456552332	0.23079318160512965	0.13392992728270237	0.3996000812917476	repulsive-gap[alpha=16]	descriptive	3
0.0	1.0026366548605732	24	0.4605277150087619	0.6919260431346851	7.284431966158835e-05	2.200772931604534	0.800062643042712	3.1802734277900866	repulsive-gap[alpha=1]	descriptive	3
0.0	1.0986434558255194	24	0.047733540863433156	0.09512839285881024	0.006057959735236169	0.374151441662325	0.2932613932357812	0.5952360537394391	repulsive-gap[alpha=4]	descriptive	3
0.0	2.51804341524963	24	0.00027672599053127117	0.0004406071245119936	0.21268350040809372	0.0038273440772948935	0.003866005702634444	0.006081222758415481	repulsive-gap[regular]	descriptive	3
0.0	1.0518986875501863	24	0.1272043257518342	0.22468229132645703	0.001820482607837036	0.3880973840240267	0.18267122563497487	0.6208815847458223	current-baseline[delta=0.2]	descriptive	4
0.0	4.556410282905201	24	0.04320074022405925	0.09551204728614203	0.07560046724112378	0.09510275543392593	0.09504241399007034	0.2024576557024992	primal-hull-uniform-disk[points=n+4,origin=interior]	descriptive	4
0.0	3.686317663204625	24	0.009802247517216908	0.020879435845890113	0.07714214689496604	0.02114251438094109	0.019288467889014994	0.045369700795044265	regular-mutation[steps=4,scale=0.03]	descriptive	4
0.0	2.587058899275253	24	0.03228178495985132	0.06509421260170083	0.04939927157188447	0.08367513129422727	0.07957112665443926	0.15807933789190787	repulsive-gap[alpha=16]	descriptive	4
0.0	1.0427397938769973	24	0.07378433636031777	0.1504912724598073	0.0019272176573152501	0.5182890621856053	0.4177102466789957	0.7941032276231187	repulsive-gap[alpha=1]	descriptive	4
0.0	1.25585381463986	24	0.049916580983076865	0.11148212146856255	0.009719549210805463	0.21526668546149844	0.14654453586875027	0.36784504599177176	repulsive-gap[alpha=4]	descriptive	4
0.0	2.567936388748226	24	0.0008883829391882094	0.001436994480040583	0.21597730663906745	0.007461969556931955	0.00766704659820254	0.011984127759124556	repulsive-gap[regular]	descriptive	4
0.0	1.0017431656427083	24	0.6436901348544977	0.9182536230253956	2.2716797198081725e-05	1.9383499697380624	0.5890767279002279	2.7564258454969393	zonogon[lengths=uniform(0.5,1.5)]	descriptive	4
0.0	1.131468285981426	24	0.04294931928397372	0.09738238201435434	0.003348071042666718	0.19879812577855957	0.1068642630388554	0.33104158004446416	current-baseline[delta=0.2]	descriptive	6
0.0	4.732980644154123	24	0.04172245984177906	0.09411885336023891	0.04667758698136129	0.0742011336436013	0.07193846918565897	0.15511068961652966	primal-hull-uniform-disk[points=n+4,origin=interior]	descriptive	6
0.0	8.093319424701146	24	0.010159639665081231	0.02435624728299406	0.04976833789210982	0.015873315685658362	0.015549879464419478	0.03584005438932869	regular-mutation[steps=4,scale=0.03]	descriptive	6
0.0	5.656444243903941	24	0.017750681615436057	0.03777391488071994	0.061250343449886786	0.03285288979314687	0.03256980083603664	0.0689150974907199	repulsive-gap[alpha=16]	descriptive	6
0.0	1.016539779127365	24	0.178273900940475	0.28516222950976555	0.0003271079480659908	0.6084467405422634	0.23728459287796644	0.9112691070739283	repulsive-gap[alpha=1]	descriptive	6
0.0	2.04055023822517	24	0.030974640238093914	0.06943014234848412	0.01912385858437458	0.07318787922364818	0.06402579392896088	0.138056027701373	repulsive-gap[alpha=4]	descriptive	6
0.0	2.4086985764691033	24	0.00013978647844846206	0.0002341527045849473	0.2030595578026184	0.0015298481793451987	0.001501805811640536	0.002548766584690873	repulsive-gap[regular]	descriptive	6
0.0	1.1945507145332783	24	0.041336298004563364	0.07315657265655255	0.00964947570934724	0.1633051490432971	0.12867297721540696	0.251477827698546	zonogon[lengths=uniform(0.5,1.5)]	descriptive	6
